,ADDRESS,LATITUDE,LONGITUDE
0,350 W FOURTH ST Apt. 408,42.3376352,-71.0504533
1,22 LIBERTY DR Apt. B2-85,42.3545427,-71.0452696
2,653 E SECOND ST Apt. 12,42.3370492,-71.03678049999999
3,15 HUMPHREYS PL,42.319427,-71.0677211
4,248 GOLD ST,42.3356516,-71.0485116
5,35 M ST,42.3369596,-71.033524
6,149 BOSTON ST,42.3246452,-71.059782
7,50 MIDDLE ST Apt. 1,42.3318018,-71.05591009999999
8,6 WHITTIER PL Apt. 108S-6,42.3657336,-71.0669497
9,147 B ST Apt. 147-3,42.3419426,-71.0523536
10,150 DORCHESTER AV Apt. 304,42.3418223,-71.05691519999999
11,653 E SECOND ST Apt. 201,42.3370492,-71.03678049999999
12,22 LIBERTY DR Apt. B2-90,42.3545427,-71.0452696
13,186 I ST,42.3318491,-71.0396409
14,596 E FOURTH ST Apt. 1,42.3349085,-71.04085839999999
15,293 K ST Apt. 2,42.3335355,-71.0376224
16,424 W FOURTH ST Apt. 424,42.3359035,-71.0480489
17,144 O ST,42.3333714,-71.0290587
18,309 E ST Apt. PS-4B,42.3372272,-71.0496375
19,342 E ST Apt. 2,42.3384745,-71.04877429999999
20,362 SILVER ST,42.3350747,-71.0453544
21,197 EIGHTH ST Apt. PH221,42.3734376,-71.0519685
22,19 M ST Apt. 2,42.3375821,-71.0336116
23,350 W FOURTH ST Apt. 206,42.3376352,-71.0504533
24,319 W FOURTH ST,42.337747,-71.051512
25,48 SUMMER ST,42.354663,-71.05902499999999
26,98 COTTAGE ST,42.3214524,-71.0660961
27,787 COLUMBIA RD,42.3200237,-71.05762310000001
28,14 F ST,42.33374329999999,-71.0515759
29,84 H ST Apt. 3,42.33493319999999,-71.0413111
30,40 MARINE RD Apt. 3,42.3308379,-71.0379619
31,240 OLD COLONY AV,42.3319993,-71.05305
32,2 G ST Apt. 3,42.33625989999999,-71.0440844
33,1300 SHIPWAY PL Apt. PS-55,42.3765875,-71.0517491
