,ADDRESS,LATITUDE,LONGITUDE
0,176 SYDNEY ST,42.3176161,-71.0527714
1,30 ROSECLAIR ST,42.3209311,-71.059782
2,246 BOSTON ST Apt. 8,42.32137609999999,-71.0610236
3,12 ST MARGARET ST,42.3223104,-71.0602463
4,16 GREENWICH ST,42.3357058,-71.08351300000001
5,826 DORCHESTER AV,42.322695,-71.05651999999999
6,246 BOSTON ST,42.32142109999999,-71.0611284
7,163 CHESTNUT HILL AV Apt. 105,42.34234989999999,-71.1542028
8,15 RIVER ST Apt. 203,42.3566153,-71.0699291
9,486 E THIRD ST Apt. 2,42.3366834,-71.04047249999999
10,1313 WASHINGTON ST Apt. PS U11,42.3420302,-71.0684375
11,12 DARTMOUTH PL Apt. 12-2,42.3450819,-71.07365190000002
12,116 SPRING ST Apt. C-5,42.2765659,-71.1651356
13,11 SUMNER TE,42.5290664,-71.1937961
14,65 E INDIA RO Apt. 35C,42.3576699,-71.0504859
15,261 BELGRADE AV Apt. 3,42.2863597,-71.1420579
16,65 ASHLAND ST,42.2997935,-71.0502178
17,39 WARREN AV,42.3452731,-71.0715948
18,34 CREIGHTON ST Apt. 1,42.3236478,-71.10835519999999
19,64 MT VERNON ST,42.3580171,-71.0673497
20,616 SOUTH ST,42.2915473,-71.1238934
21,1313 WASHINGTON ST Apt. 422,42.3422378,-71.06853749999999
22,17 WASHBURN ST Apt. 3,42.3257258,-71.05756199999999
23,166 BOSTON ST Apt. 1,42.3238887,-71.05972160000002
24,11 PLEASANT ST Apt. 3,42.3179642,-71.0593021
25,794 DORCHESTER AV Apt. 794-2,42.3237929,-71.0565321
26,23R GERRISH ST,42.356096,-71.16354799999999
27,60 NORWELL ST Apt. 2,42.3005241,-71.0786797
28,48 MONTVALE ST Apt. 2,42.2847946,-71.1441193
29,3 CUTLER CT,42.3335839,-71.0343548
30,142 HORACE ST Apt. 3,42.3835611,-71.0141881
31,28 BOSTON ST Apt. 4,42.3284597,-71.0574266
32,BAKERSFIELD ST,42.3170093,-71.060964
33,52 SPENCER ST,42.295265,-71.0763563
34,15 RUSTLEWOOD RD,42.289352,-71.15996030000001
35,CEDRUS AV,42.2788839,-71.1359878
36,166 F ST Apt. 166-4,42.3374529,-71.0472116
37,18 W SELDEN ST,42.27988390000001,-71.08336659999999
38,47 CHARTER ST,42.3672589,-71.0545357
39,311 NORFOLK AV,42.3224089,-71.0669666
40,6 MAYHEW ST Apt. 3,42.3220253,-71.060734
41,46 UNION PK Apt. 3,42.3431441,-71.072244
42,51 SHEPTON ST,42.289764,-71.0608963
43,25 SAVOY ST Apt. PS-34,42.3417631,-71.06728559999999
44,20 STANDARD ST,42.2724001,-71.078724
45,8 KERWIN ST,42.2935544,-71.08048819999999
46,145 PINCKNEY ST Apt. 632,42.3590978,-71.0715924
47,5 HOLDEN ST,42.3189334,-71.0639605
48,4 HENCHMAN ST Apt. 5,42.3670332,-71.0539517
49,20 HOMEWOOD RD,42.2780364,-71.1563862
50,5 DEROMA RD,42.2745444,-71.15290499999999
51,1 LENNON CT Apt. 4,42.3330016,-71.026591
52,6 LORING ST,42.3344753,-71.05162229999999
53,81 HOLLINGSWORTH ST,42.2678939,-71.09961489999999
54,6 SILLOWAY ST,42.2954875,-71.06225429999999
55,20 CEDAR ST Apt. 1,42.3768032,-71.0621649
56,79 DEERING RD,42.285233,-71.094771
57,416 BELGRADE AV Apt. 34,42.2857077,-71.1493163
58,90 MARLBOROUGH ST Apt. 6,42.3533266,-71.07603519999999
59,24 RAWSON ST Apt. 6,42.3260097,-71.05793899999999
60,10 RALSTON RD,42.2666872,-71.1017751
61,6 ST MARGARET ST,42.3224561,-71.06066419999999
62,20 BUCHANAN RD,42.29552330000001,-71.135684
63,35 NORTHAMPTON ST,42.3339649,-71.0750815
64,772 E FOURTH ST Apt. 3,42.3350413,-71.0327333
65,15 BELLFLOWER ST,42.3245429,-71.0578785
66,3700 WASHINGTON ST,42.3005566,-71.1128453
67,718 COLUMBIA RD,42.3205272,-71.0608963
68,22 CHISWICK RD Apt. 22-11,42.3384016,-71.1507345
69,MALTA ST,42.2648169,-71.0973929
70,48 HARVEST ST Apt. 1,42.3230619,-71.0589928
71,CUSHMAN RD,42.3539138,-71.14728099999999
72,54 GARDENA ST,42.35368039999999,-71.1479641
73,580 WASHINGTON ST Apt. 512,42.3533804,-71.06197689999999
74,32 ROSECLAIR ST Apt. 3,42.3209396,-71.05961239999999
75,16 SYMPHONY RD Apt. 4,42.3426803,-71.0876688
76,37 BEACON ST Apt. 23,42.35727869999999,-71.0656853
77,830 DORCHESTER AV,42.32257,-71.056517
78,14 BELLFLOWER ST,42.3242775,-71.05806419999999
79,99 MURDOCK ST,42.3529973,-71.1461745
80,61 MYRTLE ST,42.3594313,-71.06666489999999
81,18 OAKLEY ST,42.301656,-71.0706924
82,13 HOWELL ST Apt. 13-3,42.3251175,-71.0574374
83,6 WHITTIER PL Apt. PS 299,42.3657336,-71.0669497
84,1627 DORCHESTER AV,42.2949858,-71.0619873
85,9 BELLFLOWER ST Apt. 1,42.3244661,-71.0576464
86,531 E SIXTH ST,42.3328937,-71.0391901
87,35 ROXBURY ST,42.329671,-71.08539499999999
88,8 CROWELL ST,42.2834752,-71.0819738
89,108 BEAUMONT ST,42.2856831,-71.0559328
90,613 DORCHESTER AV Apt. 3,42.3287134,-71.05712720000001
91,65 HOBART ST,42.355248,-71.1604613
92,642 E EIGHTH ST Apt. 642,42.3316347,-71.03587190000002
93,16 WINCHESTER ST Apt. 3,42.3496253,-71.06771119999999
94,761 DORCHESTER AV,42.3244931,-71.0570813
95,349 SILVER ST,42.3349443,-71.0457201
96,23 MT VERNON ST,42.3219773,-71.0582964
97,78 FALCON ST,42.3821258,-71.0362426
98,14 DORSET ST,42.323495,-71.0578321
99,36 RAVEN ST,42.3177398,-71.05458209999999
100,12 WASHBURN ST,42.325387,-71.057486
101,1077 SOUTH ST Apt. 1,42.28822,-71.1437095
102,107 BLUE HILL AV,42.32149800000001,-71.0776999
103,63 CENTRE ST,42.329139,-71.09476599999999
104,28 ATLANTIC AV Apt. 319,42.3632389,-71.0501235
105,287 PERKINS ST Apt. B-502,42.3199516,-71.1234064
106,15 HARVEST ST Apt. 1,42.3228997,-71.0575283
107,27 MT VERNON ST Apt. 27-1,42.32177799999999,-71.05796
108,45 HARVEST ST Apt. 2,42.3233543,-71.0586496
109,22 BOUTWELL ST,42.29127829999999,-71.0510536
110,520 BEACON ST Apt. 1D,42.3507691,-71.0906784
111,1187 DORCHESTER AV Apt. 1,42.3101131,-71.0580927
112,24 EASTBURN ST,42.3478098,-71.15670159999999
113,1 FRANKLIN ST Apt. 5506,42.3563166,-71.0595573
114,6 CRAFT PL Apt. 3,42.2968187,-71.1138227
115,59 BOURNE ST,42.2909587,-71.1149226
116,28 RAWSON ST,42.32606810000001,-71.05811059999999
117,35 FALCON ST,42.381792,-71.038203
118,41 HOWELL ST,42.3254126,-71.05862130000001
119,463 E SIXTH ST,42.3328398,-71.0420766
120,297 K ST Apt. 2,42.33342589999999,-71.0376181
121,52 CHARLESGATE EAST Apt. 157,42.3470701,-71.0906559
122,78 SUMNER ST,42.3168491,-71.0621963
123,137 CHISWICK RD Apt. 137-2B,42.3409871,-71.15362449999999
124,77 DAVISON ST,42.2579699,-71.117116
125,14 EVERETT ST Apt. 6,42.3016617,-71.0523729
126,24 HARVEST ST,42.3227462,-71.05796169999999
127,11 PLEASANT ST,42.3179918,-71.0593178
128,34 SEDGWICK ST,42.3087518,-71.1140522
129,39 DORCHESTER ST Apt. 3,42.3366792,-71.0443288
130,24 WYCLIFF AV,42.2762904,-71.1682223
131,15 RUNNING BROOK RD,42.2642944,-71.1505842
132,17 CENTERVALE PK,42.2963031,-71.0628462
133,1028 DORCHESTER AV,42.315584,-71.056403
134,722 COLUMBIA RD,42.3204425,-71.06061770000001
135,15 RAYMOND ST,42.3614098,-71.13482479999999
136,499 E SIXTH ST,42.3328664,-71.0407463
137,26 HOWE ST,42.31090409999999,-71.0647747
138,65 STORY ST,42.3333257,-71.04183669999999
139,12 BELLFLOWER ST,42.3242537,-71.05792490000002
140,8 MT VERNON ST Apt. 4,42.3228722,-71.0596437
141,24 THORNLEY ST,42.3140864,-71.0588535
142,57 HARBOR VIEW ST Apt. 1,42.3168627,-71.0539593
143,14 MARDEN AV Apt. 14,42.28469090000001,-71.08683839999999
144,802 E THIRD ST,42.33674800000001,-71.0275717
145,7 COOK ST,42.3801036,-71.06418099999999
146,63 ROSECLAIR ST,42.32080209999999,-71.0581571
147,1084R SARATOGA ST,42.385757,-71.00326299999999
148,38 KENNETH ST,42.2844395,-71.14942669999999
149,22 LIBERTY DR Apt. B1-64,42.3545427,-71.0452696
150,25 MT VERNON ST Apt. #6 3RD,42.3810374,-71.0800593
151,37 MT VERNON ST Apt. 1R,42.321589,-71.057245
152,33 MAYHEW ST,42.3211331,-71.05922490000002
153,W SECOND ST,42.3405956,-71.04996349999999
154,136 SHAWMUT AV Apt. PS-7,42.345897,-71.065861
155,158 NONANTUM ST,42.3500063,-71.1742562
156,32 E SPRINGFIELD ST Apt. 2,42.3362457,-71.0751655
157,519 HARRISON AV Apt. D-517,42.34168409999999,-71.0674657
158,5 MATHER ST,42.294783,-71.06231389999999
159,7 SNOWDEN WY,42.2913848,-71.09195509999999
160,23 EAST ST,42.3077852,-71.05948029999999
161,7 MT VERNON ST,42.3587516,-71.0634279
162,1404 COMMONWEALTH AV Apt. 4-20,42.3483399,-71.138358
163,HARLESTON ST,42.3293617,-71.10209360000002
164,720 COLUMBIA RD,42.3204662,-71.060757
165,109 LEXINGTON ST,42.378166,-71.035686
166,14 ATLANTIC ST,42.33410569999999,-71.04603920000001
167,84 H ST Apt. 1,42.33493319999999,-71.0413111
168,4 CHARLES ST,42.35462039999999,-71.070785
169,90 GAINSBOROUGH ST Apt. 403E,42.3423223,-71.088921
170,15 CRESTHILL RD,42.3557818,-71.15731459999999
171,52 MOSELEY ST,42.3207112,-71.05458209999999
172,31 WYCLIFF AV,42.2766059,-71.16854719999999
173,ST MARGARET ST,42.3219011,-71.0594821
174,160 BOSTON ST,42.32422520000001,-71.0594795
175,30 N MUNROE TE,42.2924241,-71.05253929999999
176,251 R BOSTON ST,42.3212523,-71.061797
177,22 CHURCH ST Apt. 3,42.348793,-71.06826989999999
178,37 SUMNER ST,42.3185315,-71.0618248
179,766 E THIRD ST Apt. 770-3,42.336749,-71.0289998
180,58 DORSET ST,42.3240126,-71.05966599999999
181,33 MT VERNON ST,42.3585008,-71.0645667
182,524 DUDLEY ST,42.32230759999999,-71.0724101
183,39 KING ST,42.292461,-71.05901399999999
184,598R E SEVENTH ST,42.332643,-71.036244
185,11 WESTBOURNE ST,42.2810133,-71.1428324
186,87 SCHOOL ST Apt. 1,42.3789727,-71.06328669999999
187,43 PEARL ST,42.31526969999999,-71.0590392
188,24 RAWSON ST Apt. PS-12,42.3260099,-71.057959
189,6 WHITTIER PL Apt. B-104,42.3656073,-71.0673891
190,629 DORCHESTER AV,42.3283462,-71.05705209999999
191,25 HUMPHREYS PL,42.3196736,-71.0678604
192,8 MT VERNON ST Apt. 1,42.3228722,-71.0596437
193,42 EIGHTH ST Apt. 5525,42.3749988,-71.0520878
194,246 BOSTON ST Apt. 9,42.32137609999999,-71.0610236
195,64 MORELAND ST,42.3243529,-71.07960609999999
196,9 SUMMER ST,42.3548422,-71.0600497
197,8 REDWOOD ST,42.2933871,-71.06122130000001
