zpid,address,zipcode,city,state,latitude,longitude
5915208,13 Acadia St,#02127,South Boston,MA,42.337919,-71.030192
208766505,7 Acadia St,#02127,South Boston,MA,42.337818,-71.03014
5916302,12 Acadia St # 1,#02127,South Boston,MA,42.337891,-71.029802
5916302,12 Acadia St # 2,#02127,South Boston,MA,42.337891,-71.029802
5916311,79 Acadia St # 1,#02127,South Boston,MA,42.337816,-71.030187
5916311,79 Acadia St # 2,#02127,South Boston,MA,42.337816,-71.030187
5916311,79 Acadia St # 3,#02127,South Boston,MA,42.337816,-71.030187
209049664,1 Acadia St # 2,#02127,South Boston,MA,42.337948,-71.03015
209053738,3 Acadia St # 1,#02127,South Boston,MA,42.337928,-71.03014
5916311,79 Acadia St # 4,#02127,South Boston,MA,42.337816,-71.030187
8189793,125 B St UNIT 3B,#02127,South Boston,MA,42.341278,-71.05308
8185666,125 B St UNIT 4B,#02127,South Boston,MA,42.341278,-71.05308
8185361,125 B St UNIT 2B,#02127,South Boston,MA,42.341278,-71.05308
8185449,125 B St UNIT 1B,#02127,South Boston,MA,42.341278,-71.05308
5915035,2 Balmoral Park,#02127,South Boston,MA,42.331077,-71.034501
5915035,3 Balmoral Park,#02127,South Boston,MA,42.331078,-71.034581
5915035,1 Balmoral Park,#02127,South Boston,MA,42.331085,-71.034412
209356178,2 Balmoral Park # 1,#02127,South Boston,MA,42.331077,-71.034501
5915010,13 Bantry Way,#02127,South Boston,MA,42.331834,-71.031599
5915008,4 Bantry Way,#02127,South Boston,MA,42.332052,-71.031564
5915008,6 Bantry Way,#02127,South Boston,MA,42.332049,-71.031719
5915008,7 Bantry Way,#02127,South Boston,MA,42.332048,-71.031796
5915008,8 Bantry Way,#02127,South Boston,MA,42.332045,-71.031873
5915248,22 Barnard Pl,#02127,South Boston,MA,42.336748,-71.039018
5915248,18 Barnard Pl,#02127,South Boston,MA,42.336746,-71.039167
5915248,16 Barnard Pl,#02127,South Boston,MA,42.336744,-71.039258
5915248,14 Barnard Pl,#02127,South Boston,MA,42.336742,-71.039331
5915248,12 Barnard Pl,#02127,South Boston,MA,42.336742,-71.039388
5915248,8 Barnard Pl,#02127,South Boston,MA,42.336739,-71.039517
5915248,10 Barnard Pl,#02127,South Boston,MA,42.336741,-71.039445
5921291,20 Barnard Pl,#02127,South Boston,MA,42.336747,-71.039093
5915250,1 Bay State Pl,#02127,South Boston,MA,42.337875,-71.038136
5915250,8 Bay State Pl,#02127,South Boston,MA,42.337714,-71.037896
5915250,6 Bay State Pl,#02127,South Boston,MA,42.33777,-71.037904
6011226,2 Bay State Pl # 3,#02127,South Boston,MA,42.33788,-71.037906
6011226,2 Bay State Pl # 1,#02127,South Boston,MA,42.33788,-71.037906
12385099,3 Bay State Pl # 2,#02127,South Boston,MA,42.337821,-71.038134
8185444,7 Bay State Pl # 1,#02127,South Boston,MA,42.337711,-71.038141
8185636,7 Bay State Pl # 2,#02127,South Boston,MA,42.337711,-71.038141
208673298,8 Bay State Pl # 1,#02127,South Boston,MA,42.337712,-71.0379
209555025,4 Bay State Pl # 1,#02127,South Boston,MA,42.337825,-71.037905
213946017,5 Bay State Pl # 1,#02127,South Boston,MA,42.337768,-71.038134
12384800,3 Bay State Pl # 1,#02127,South Boston,MA,42.337821,-71.038134
5915093,1 Bay View Pl,#02127,South Boston,MA,42.331755,-71.039267
5915093,2 Bay View Pl,#02127,South Boston,MA,42.33176,-71.039175
5914887,9 Beckler Ave,#02127,South Boston,MA,42.333385,-71.036703
5914888,6 Beckler Ave,#02127,South Boston,MA,42.333622,-71.036845
5914888,16 Beckler Ave,#02127,South Boston,MA,42.333628,-71.036494
5914889,2 Beckler Ave,#02127,South Boston,MA,42.33362,-71.036985
5914888,4 Beckler Ave,#02127,South Boston,MA,42.333621,-71.036915
5914888,14 Beckler Ave,#02127,South Boston,MA,42.333627,-71.036564
5914888,15 Beckler Ave,#02127,South Boston,MA,42.333389,-71.03649
5914888,13 Beckler Ave,#02127,South Boston,MA,42.333387,-71.036561
5914887,7 Beckler Ave,#02127,South Boston,MA,42.333384,-71.036771
5914887,5 Beckler Ave,#02127,South Boston,MA,42.333383,-71.036844
11768630,9 Beckler Ave # 1,#02127,South Boston,MA,42.333385,-71.036703
11338929,6 Beckler Ave # 1,#02127,South Boston,MA,42.333622,-71.036845
11338993,6 Beckler Ave # 2,#02127,South Boston,MA,42.333622,-71.036845
208955188,8 Beckler Ave # 2B,#02127,South Boston,MA,42.33362,-71.036762
5914930,11 Bell Ct,#02127,South Boston,MA,42.335659,-71.055233
5914930,9 Bell Ct,#02127,South Boston,MA,42.335627,-71.055183
5914929,7 Bell Ct,#02127,South Boston,MA,42.335594,-71.055131
6709589,11 Bell Ct # 1,#02127,South Boston,MA,42.335659,-71.055233
6709622,11 Bell Ct # 2,#02127,South Boston,MA,42.335659,-71.055233
6709661,11 Bell Ct # 3,#02127,South Boston,MA,42.335659,-71.055233
5914825,3 Kemble Pl # 1,#02127,South Boston,MA,42.337795,-71.027472
5914826,3 Kemble Pl # 2,#02127,South Boston,MA,42.337795,-71.027472
19005706,17-21 Boston St,#02127,South Boston,MA,42.328948,-71.05762
